Last Report Year,5 Digit NTDID,4 Digit NTDID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2016 Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,
2016,30015,3015,Luzerne County Transportation Authority(LCTA),Active,Full Reporter,Kingston,PA,2010,"Scranton, PA",99,171,"381,502",Existing 2016,"$4,996,006","$4,751,661","$4,494,049","$4,462,538","$3,467,634","$3,657,623","$3,804,675","$7,099,501","$5,442,075","$4,404,838","$4,472,723","$5,164,787","$7,262,641","$10,426,752","$12,448,715","$9,126,318","$7,011,274","$6,237,987","$6,537,371","$8,480,114","$9,931,309","$9,078,703","$16,740,816","$11,803,090","$12,109,474","$12,922,588",,,,
2016,30018,3018,Red Rose Transit Authority(RRTA),Active,Full Reporter,Lancaster,PA,2010,"Lancaster, PA",91,248,"402,004",Existing 2016,"$6,901,524","$3,881,334","$5,446,168","$6,021,488","$9,341,417","$6,344,758","$7,046,521","$8,329,046","$9,221,944","$9,236,574","$9,646,657","$9,565,170","$14,628,701","$11,890,337","$14,650,599","$18,183,569","$17,095,242","$13,999,416","$19,123,864","$23,385,617","$28,384,558","$22,105,846","$19,674,412","$18,476,232","$18,259,071","$20,647,802",,,,
2016,30019,3019,Southeastern Pennsylvania Transportation Authority(SEPTA),Active,Full Reporter,Philadelphia,PA,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",Existing 2016,"$798,912,987","$927,551,937","$897,461,741","$895,946,178","$956,970,421","$962,129,834","$1,022,194,710","$968,523,349","$998,098,665","$1,053,265,625","$1,059,435,532","$1,170,012,435","$1,168,638,381","$1,203,260,082","$1,218,328,308","$1,256,777,559","$1,319,367,371","$1,452,726,881","$1,563,860,623","$1,555,025,764","$1,553,348,919","$1,527,905,392","$1,495,931,198","$1,530,745,691","$1,715,026,035","$1,846,041,756",,,,
2016,30022,3022,Port Authority of Allegheny County(Port Authority),Active,Full Reporter,Pittsburgh,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",Existing 2016,"$219,994,185","$245,937,093","$250,222,761","$265,254,416","$273,791,535","$279,060,119","$338,362,786","$322,652,794","$357,038,868","$348,448,274","$374,352,259","$476,903,286","$439,713,681","$411,140,855","$451,992,616","$397,503,072","$473,757,171","$478,534,639","$498,707,091","$542,555,642","$549,123,704","$506,074,426","$427,207,150","$435,490,811","$443,107,301","$484,821,542",,,,
2016,30023,3023,Beaver County Transit Authority(BCTA),Active,Full Reporter,Rochester,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",Existing 2016,"$4,304,266","$3,205,349","$3,128,480","$3,873,327","$3,798,880","$3,773,772","$4,012,789","$6,503,516","$4,074,981","$8,850,317","$11,151,302","$12,009,500","$5,200,468","$5,439,558","$6,810,139","$5,893,402","$5,584,076","$12,348,878","$6,458,720","$6,916,600","$7,762,659","$10,181,009","$8,329,444","$11,476,794","$7,932,522","$8,888,580",,,,
2016,30024,3024,Berks Area Regional Transportation Authority(BARTA),Active,Full Reporter,Reading,PA,2010,"Reading, PA",140,104,"266,254",Existing 2016,"$10,589,055","$6,394,407","$7,202,684","$14,168,123","$7,839,060","$8,892,911","$7,015,638","$8,170,534","$9,298,620","$9,846,339","$16,172,473","$13,289,238","$13,441,705","$13,841,077","$20,297,212","$18,421,631","$15,545,007","$13,983,185","$19,699,455","$17,459,286","$17,605,035","$18,408,403","$19,184,991","$18,551,487","$19,286,959","$18,405,666",,,,
2016,30025,3025,County of Lackawanna Transit System(COLTS),Active,Full Reporter,Scranton,PA,2010,"Scranton, PA",99,171,"381,502",Existing 2016,"$4,470,370","$5,271,530","$4,781,459","$5,590,318","$4,779,519","$4,390,811","$4,800,144","$4,119,587","$4,301,857","$7,371,410","$7,493,801","$4,627,798","$6,111,887","$4,892,988","$5,987,837","$7,384,263","$7,818,880","$6,732,448","$7,446,468","$7,213,386","$11,082,580","$8,547,612","$17,537,476","$13,882,234","$16,051,602","$18,496,574",,,,
2016,30026,3026,Williamsport Bureau of Transportation(RVT),Active,Full Reporter,Williamsport,PA,2010,"Williamsport, PA",462,27,"56,142",Existing 2016,"$2,571,752","$2,068,041","$1,865,297","$2,414,729","$2,239,870","$2,071,783","$3,093,863","$3,099,310","$4,871,974","$7,729,575","$6,238,109","$2,770,653","$4,303,449","$3,719,021","$3,310,373","$5,305,334","$4,524,317","$4,881,060","$6,721,150","$12,444,907","$20,951,244","$9,401,171","$8,254,477","$13,239,344","$8,562,206","$12,941,057",,,,
2016,30027,3027,York County Transportation Authority(rabbittransit),Active,Full Reporter,York,PA,2010,"York, PA",158,132,"232,045",Existing 2016,"$2,153,371","$2,684,502","$4,128,089","$3,834,200",$0,"$3,938,064","$5,283,213","$3,846,700","$4,681,570","$5,285,547","$10,782,235","$6,751,346","$8,056,925","$7,345,904","$9,956,784","$12,361,475","$11,347,066","$11,269,611","$17,923,221","$19,949,664","$14,304,593","$19,618,825","$21,933,090","$21,201,001","$23,331,137","$33,873,757",,,,
2016,30030,3030,Washington Metropolitan Area Transit Authority(WMATA),Active,Full Reporter,Washington,DC,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,"$1,015,520,508","$947,621,551","$945,671,588","$955,533,638","$1,253,565,781","$1,044,359,509","$1,052,298,316","$1,081,938,215","$1,030,707,803","$1,125,448,265","$1,296,865,590","$1,462,211,601","$1,383,139,957","$1,515,109,635","$1,376,263,683","$1,809,635,422","$1,921,868,605","$1,966,201,101","$1,925,860,687","$1,949,941,224","$2,140,114,831","$2,018,590,754","$2,162,227,564","$2,100,947,476","$2,815,503,851","$2,694,305,987",,,,
1995,30031,3031,Delaware Administration for Regional Transit,Inactive,Full Reporter,Dover,DE,1990,"Wilmington, DE--NJ--MD--PA",68,188,"449,616",Pre 2016,"$11,135,271","$11,759,881","$14,719,278","$15,640,689","$16,379,999",,,,,,,,,,,,,,,,,,,,,,,,,
1995,30032,3032,Delaware Administration for Specialized Transportation,Inactive,Full Reporter,Dover,DE,1990,"Dover, DE",392,38,"50,787",Pre 2016,"$1,604,406","$4,427,090","$4,776,185","$6,660,656","$8,134,912",,,,,,,,,,,,,,,,,,,,,,,,,
2016,30034,3034,Maryland Transit Administration(MTA),Active,Full Reporter,Baltimore,MD,2010,"Baltimore, MD",19,717,"2,203,663",Existing 2016,"$350,255,243","$379,493,982","$314,045,479","$314,427,147","$352,025,855","$394,645,535","$352,545,808","$388,454,209","$396,571,143","$411,571,183","$445,122,236","$510,262,007","$518,636,066","$561,803,991","$623,215,800","$627,461,413","$572,140,194","$688,463,063","$771,886,878","$842,836,263","$864,791,844","$947,713,577","$957,349,138","$1,033,439,685","$1,113,857,814","$1,035,940,459",,,,
2016,30035,3035,Ohio Valley Regional Transportation Authority(OVRTA / EORTA),Active,Full Reporter,Wheeling,WV,2010,"Wheeling, WV-OH",353,47,"81,249",Existing 2016,"$1,919,606","$2,051,182","$1,932,747","$2,392,397","$3,563,115","$2,898,165","$10,484,035","$4,702,698","$3,102,330","$3,197,572","$3,085,436","$2,651,924","$2,867,954","$3,364,198","$3,114,625","$3,758,524","$3,553,235","$3,605,740","$3,287,287","$5,120,205","$4,127,261","$4,082,170","$3,832,044","$3,923,887","$4,977,113","$4,223,280",,,,
2016,30036,3036,Charlottesville Area Transit(CAT),Active,Reduced Reporter,Charlottesville,VA,2010,"Charlottesville, VA",317,35,"92,359",Existing 2016,"$1,581,746","$1,502,456","$1,407,047","$1,476,628","$1,509,250","$1,877,205","$2,718,385","$4,863,754","$2,536,282","$3,793,823","$4,392,483","$5,883,636","$4,608,995","$5,224,378","$10,826,182","$8,312,938","$9,485,832","$6,478,198","$11,609,026","$18,269,847","$7,668,212","$10,742,499","$6,882,110","$10,165,081","$8,460,873","$8,363,084",,,,
2016,30040,3040,Annapolis Department of Transportation(Annapolis Transit),Active,Reduced Reporter,Annapolis,MD,2010,"Baltimore, MD",19,717,"2,203,663",Existing 2016,"$2,157,148","$2,102,028","$1,408,085","$2,904,053","$3,859,719","$2,267,472","$1,680,934","$1,954,089","$2,631,753","$2,741,746","$2,930,855","$4,622,154","$3,427,078","$3,381,760","$4,521,174","$4,839,796","$5,237,981","$4,555,941","$5,251,946","$4,813,591","$5,425,057","$4,761,445","$4,143,014","$4,553,381","$4,645,298","$5,899,470",,,,
2016,30041,3041,Allegany County Transit(ACT),Active,Reduced Reporter,Cumberland,MD,2010,"Cumberland, MD-WV-PA",484,33,"51,899",Existing 2016,"$1,176,015","$732,479","$680,613",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,830,787","$2,459,397","$2,055,323","$2,465,101","$2,632,707","$2,104,898","$2,018,494","$2,019,635","$1,858,375","$2,019,256","$1,881,551",,,,
2016,30042,3042,Washington County Transit(County Commuter),Active,Reduced Reporter,Hagerstown,MD,2010,"Hagerstown, MD-WV-PA",189,133,"182,696",Existing 2016,"$1,288,624","$1,360,760","$1,035,984","$1,118,661","$2,276,102","$2,010,492","$1,160,744","$867,102","$1,225,898","$1,251,178","$1,299,843","$1,286,128","$1,241,709","$1,418,692","$1,638,812","$1,773,077","$1,708,847","$1,823,188","$3,695,769","$2,396,083","$3,145,544","$2,080,294","$1,969,094","$1,834,976","$2,508,397","$2,411,426",,,,
1996,30043,3043,The Columbia Transit System,Inactive,Full Reporter,Columbia,MD,1990,"Baltimore, MD",17,593,"1,889,873",Pre 2016,"$1,370,835","$1,894,350","$908,877","$1,006,859","$1,059,846",$0,,,,,,,,,,,,,,,,,,,,,,,,
2016,30044,3044,Westmoreland County Transit Authority(WCTA),Active,Full Reporter,Greensburg,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",Existing 2016,"$951,946","$934,017","$2,414,461","$1,318,049","$1,453,575","$1,232,691","$1,218,479","$3,190,856","$3,501,888","$2,497,622","$2,748,175","$2,550,025","$4,241,778","$4,376,282","$3,317,232","$5,844,798","$3,973,347","$4,204,977","$6,782,574","$7,023,851","$10,026,977","$12,362,161","$6,527,277","$15,285,647","$11,642,221","$11,941,842",,,,
2016,30045,3045,"JAUNT, Inc.",Active,Full Reporter,Charlottesville,VA,2010,"Charlottesville, VA",317,35,"92,359",Existing 2016,"$1,317,559","$1,554,893","$2,082,118","$1,883,881","$2,544,712",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$4,790,071","$5,849,434","$5,267,353","$7,458,278","$6,605,938","$6,734,864","$6,974,759","$7,484,161","$8,041,874",,,,
1995,30047,3047,Delaware Railroad Administration,Inactive,Full Reporter,Doverngton,DE,1990,"Wilmington, DE--NJ--MD--PA",68,188,"449,616",Pre 2016,"$295,614","$291,994","$1,038,243","$1,218,318","$1,928,070",,,,,,,,,,,,,,,,,,,,,,,,,
2016,30048,3048,Howard Transit(HT),Active,Full Reporter,Ellicott City,MD,2010,"Baltimore, MD",19,717,"2,203,663",Existing 2016,$0,$0,$0,$0,$0,$0,$0,"$2,016,775","$2,433,295","$3,248,377","$5,279,075","$7,376,744","$6,705,967","$7,263,074","$6,366,250","$6,534,603","$7,451,801","$10,047,865","$11,217,528","$12,916,224","$10,713,826","$11,337,252","$10,509,630","$10,657,006","$11,852,306","$8,381,772",,,,
2007,30050,3050,"G G and C Bus Company, Inc.",Inactive,Full Reporter,Washington,PA,2000,"Pittsburgh, PA",22,852,"1,753,136",Pre 2016,"$1,506,161","$1,312,681","$1,628,443","$1,240,127","$1,101,202","$1,169,629","$1,733,314","$1,601,648","$1,707,385","$1,691,805","$2,292,289","$2,009,038","$2,272,015","$2,434,411","$2,117,918","$2,695,659","$2,755,636",,,,,,,,,,,,,
2016,30051,3051,Ride-On Montgomery County Transit,Active,Full Reporter,Rockville,MD,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,"$33,080,051","$36,365,018","$38,744,787","$44,949,745","$43,438,623","$43,220,083","$41,513,825","$44,382,689","$48,441,467","$63,134,200","$63,608,615","$74,956,636","$69,894,723","$88,756,914","$86,839,805","$91,084,728","$102,838,826","$106,830,480","$113,471,542","$133,500,358","$106,850,921","$119,126,408","$106,327,791","$136,412,042","$126,778,090","$137,815,429",,,,
2016,30053,3053,Bristol Virginia Transit(BVT),Active,Reduced Reporter,Bristol,VA,2010,"Bristol-Bristol, TN-VA",397,64,"69,501",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$619,285","$499,253","$584,015","$491,544","$446,015","$516,244",,,,
2016,30054,3054,Centre Area Transportation Authority(CATA),Active,Full Reporter,State College,PA,2010,"State College, PA",335,29,"87,454",Existing 2016,"$4,248,441","$3,001,157","$3,093,854","$2,913,296","$3,141,842","$7,461,921","$6,770,319","$7,231,562","$4,683,919","$5,938,671","$10,513,303","$7,077,025","$7,353,658","$7,899,454","$8,155,619","$8,005,258","$9,026,513","$10,978,584","$12,830,094","$12,775,022","$15,091,189","$25,999,829","$15,576,455","$17,014,566","$25,064,585","$28,279,986",,,,
2016,30055,3055,Shenango Valley Shuttle Service(SVSS),Active,Full Reporter,Hermitage,PA,2010,"Youngstown, OH-PA",97,241,"387,550",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,900,566","$1,967,191","$1,992,116","$2,369,298","$2,143,161","$2,491,448","$2,538,129","$2,968,786","$2,577,792","$3,110,514","$4,645,202","$2,855,504","$3,522,471","$2,951,879",,,,
2016,30057,3057,Pennsylvania Department of Transportation(PENNDOT),Active,Full Reporter,Harrisburg,PA,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",Existing 2016,"$574,065","$534,296","$389,172","$1,237,720","$2,116,269","$4,432,835","$4,300,000","$5,170,000","$5,122,027","$8,324,465","$6,353,631","$7,323,627","$14,840,924","$16,783,235","$23,121,456","$22,151,184","$22,718,624","$14,598,933","$16,271,442","$20,024,732","$23,486,691","$23,138,135","$32,646,287","$53,773,434","$70,567,599","$99,625,599",,,,
2016,30058,3058,City of Fairfax CUE Bus(CUE),Active,Full Reporter,Fairfax,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,$0,$0,$0,$0,$0,"$1,814,525","$1,978,549","$2,254,620","$2,178,543","$2,591,739","$3,910,579","$3,322,913","$2,644,944","$2,717,835","$2,869,535","$2,980,627","$2,933,798","$6,144,227","$2,815,073","$2,977,824","$2,957,272","$3,501,114","$3,558,907","$5,880,591",,,,
2016,30061,3061,Mid Mon Valley Transit Authority(MMVTA),Active,Full Reporter,Charleroi,PA,2010,"Monessen-California, PA",417,45,"66,086",Existing 2016,"$1,059,081","$1,854,529","$1,238,571","$1,777,627","$1,876,346","$1,877,562","$1,937,183","$3,552,330","$2,467,097","$4,742,705","$3,067,748","$3,941,624","$3,498,740","$3,399,706","$3,069,421","$3,905,739","$3,997,079","$5,680,374","$5,632,519","$8,738,071","$5,110,678","$5,047,764","$4,855,537","$5,311,185","$4,692,679","$8,007,989",,,,
2016,30066,3066,Weirton Transit Corporation(WTC),Active,Reduced Reporter,Weirton,WV,2010,"Weirton-Steubenville, WV-OH-PA",389,51,"70,889",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$664,546","$454,320","$655,051","$551,082","$389,303",,,,
2007,30067,3067,Access Transportation Systems(ACCESS),Inactive,Full Reporter,Pittsburgh,PA,2000,"Pittsburgh, PA",22,852,"1,753,136",Pre 2016,"$19,154,533","$19,900,218","$19,800,977","$20,812,239","$22,966,107","$23,896,818","$24,688,547","$25,367,196","$26,089,469","$28,062,436","$29,527,883","$29,602,045","$28,995,623","$29,738,548","$30,437,275","$32,473,412","$33,074,017",,,,,,,,,,,,,
2016,30068,3068,Fairfax Connector Bus System(Fairfax Connector),Active,Full Reporter,Fairfax,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,"$5,460,200","$6,497,964","$13,555,880","$13,200,662",$0,"$14,979,617","$24,281,325","$25,842,870","$36,669,469","$26,108,178","$27,206,335","$26,147,772","$32,954,149","$53,795,885","$58,052,467","$50,104,356","$56,862,623","$65,002,089","$68,882,964","$86,262,959","$88,156,128","$85,205,125","$90,147,145","$90,377,999",,,,
2013,30069,3069,City of Danville Mass Transit System(Danville Transit),Inactive,Reduced Reporter,Danville,VA,2010,Non-UZA,0,,,Pre 2016,$0,$0,"$983,953","$818,791","$1,094,926","$893,264","$935,039","$899,415","$870,326","$807,960","$825,887","$876,284","$1,021,097","$1,022,100","$1,341,470","$1,149,222","$1,941,307","$1,581,458","$1,357,876","$1,416,640","$2,323,334","$2,164,837","$2,056,675",,,,,,,
2016,30070,3070,Potomac and Rappahannock Transportation Commission(PRTC),Active,Full Reporter,Woodbridge,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,"$2,921,197","$2,914,000","$4,784,774","$5,937,514","$11,837,194","$5,972,503","$7,305,821","$8,704,330","$14,711,068","$24,812,035","$11,352,539","$17,675,537","$23,288,300","$24,662,887","$23,215,228","$31,392,915","$32,014,287","$30,217,145","$31,917,353","$33,394,540","$41,030,746","$49,967,774","$43,697,143","$48,455,850",,,,
2016,30071,3071,City of Alexandria(DASH),Active,Full Reporter,Alexandria,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,$0,$0,$0,$0,$0,"$4,153,988","$7,792,118","$6,638,738","$7,969,084","$7,584,450","$10,152,944","$9,390,192","$11,783,868","$8,962,353","$11,146,149","$14,175,885","$14,164,068","$13,908,317","$14,798,391","$21,142,546","$21,742,752","$21,612,138","$30,944,158","$20,881,287",,,,
2016,30072,3072,Transit Services of Frederick County,Active,Full Reporter,Frederick,MD,2010,"Frederick, MD",230,73,"141,576",Existing 2016,$0,$0,$0,$0,"$1,495,596","$1,394,762","$1,451,257","$3,764,418","$2,447,897","$1,809,914","$2,078,992","$2,483,140","$3,901,856","$5,352,306","$5,882,404","$4,790,980","$5,114,437","$5,383,568","$6,031,868","$8,280,461","$6,309,835","$7,319,803","$5,487,787","$5,817,479","$5,825,843","$8,759,003",,,,
2016,30073,3073,Virginia Railway Express(VRE),Active,Full Reporter,Alexandria,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,"$30,387,995","$21,775,340","$32,820,311","$37,627,549","$37,654,326","$37,426,738","$38,538,423","$44,999,572","$53,169,123","$44,730,983","$41,366,845","$50,205,759","$57,374,930","$62,296,325","$92,995,285","$112,977,306","$95,821,767","$98,963,079","$128,974,930","$92,593,873","$87,519,197","$99,534,717","$89,841,182","$118,364,914",,,,
2016,30074,3074,Harford Transit(HT),Active,Reduced Reporter,Abingdon,MD,2010,"Aberdeen-Bel Air South-Bel Air North, MD",169,131,"213,751",Existing 2016,$0,$0,$0,$0,"$379,302","$799,228","$1,773,031","$1,003,436","$1,174,037","$2,052,906","$2,702,231","$2,151,159","$2,677,335","$2,373,212","$2,250,930","$2,937,143","$2,987,588","$2,996,858","$4,361,805","$4,596,238","$3,077,006","$3,265,940","$7,369,146","$3,625,446","$3,524,832","$3,961,077",,,,
2016,30075,3075,Delaware Transit Corporation(DTC),Active,Full Reporter,Dover,DE,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",Existing 2016,$0,$0,$0,$0,$0,$0,"$45,419,921","$45,985,979","$50,742,837","$67,909,356","$67,634,177","$73,010,062","$85,461,210","$70,106,990","$84,188,696","$73,459,106","$86,324,205","$120,414,349","$121,933,676","$123,745,252","$124,582,521","$134,165,679","$132,617,779","$156,142,667","$140,673,653","$134,722,082",,,,
2016,30076,3076,Williamsburg Area Transit Authority(WATA),Active,Full Reporter,Williamsburg,VA,2010,"Williamsburg, VA",371,56,"75,689",Existing 2016,$0,$0,$0,$0,$0,"$483,630","$693,753","$468,703","$570,797","$1,039,177","$1,139,540","$1,189,054","$4,229,363","$1,449,257","$2,369,835","$3,436,730","$7,334,348","$7,829,757","$5,117,814","$7,349,396","$6,904,869","$7,366,064","$7,841,530","$7,626,106","$9,351,217","$7,055,689",,,,
2016,30077,3077,Borough of Pottstown - Pottstown Area Rapid Transit(PART),Active,Full Reporter,Pottstown,PA,2010,"Pottstown, PA",287,79,"107,682",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,920,196","$1,990,793","$1,903,032","$2,055,254","$2,099,323","$2,301,406",,,,
2016,30078,3078,Southwestern Pennsylvania Commission(SPC),Active,Full Reporter,Pittsburgh,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$511,146","$486,196","$482,878","$587,308","$879,424","$1,000,252","$952,140","$968,927","$1,126,718","$1,262,380","$1,281,121","$1,375,083","$1,659,003","$1,847,518","$1,930,677","$1,802,053","$1,672,042",,,,
2016,30079,3079,Fredericksburg Regional Transit(FRED),Active,Reduced Reporter,Fredericksburg,VA,2010,"Fredericksburg, VA",231,78,"141,238",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,159,813","$1,486,690","$1,726,850","$2,151,933","$5,230,013","$6,586,216","$3,580,541","$4,418,029","$4,243,620","$4,281,813","$8,051,301","$6,419,464","$3,737,623","$4,133,411",,,,
2016,30080,3080,Arlington Transit - Arlington County(ART),Active,Full Reporter,Arlington,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,$0,$0,$0,$0,$0,"$227,745",$0,$0,$0,$0,$0,"$2,156,499",$0,$0,$0,$0,"$16,212,849","$11,141,370","$29,703,262","$31,441,458","$28,470,067","$23,556,082","$31,798,604","$34,149,743",,,,
2016,30081,3081,Loudoun County Commuter Bus Service - Office of Transportation Services(LC Transit),Active,Full Reporter,Leesburg,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,$0,$0,$0,$0,$0,"$768,483","$953,378","$1,130,267","$1,379,395","$1,719,840","$2,300,870","$12,292,713","$3,407,834","$3,075,215","$9,311,669","$7,236,034","$8,884,516","$11,707,005","$11,160,534","$13,013,200","$13,397,590","$25,097,297","$20,774,191","$19,599,146",,,,
2001,30082,3082,"Atlantic Paratrans, Inc.",Inactive,Full Reporter,Philadelphia,PA,1990,"Philadelphia, PA--NJ",4,"1,164","4,222,211",Pre 2016,$0,$0,$0,$0,$0,$0,$0,"$6,442,171","$11,042,712","$12,847,804","$12,685,076",,,,,,,,,,,,,,,,,,,
2016,30083,3083,Transportation District Commission of Hampton Roads(HRT),Active,Full Reporter,Hampton,VA,2010,"Virginia Beach, VA",34,515,"1,439,666",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$60,487,260","$65,149,563","$71,315,340","$74,272,015","$70,234,250","$64,007,881","$68,675,470","$76,721,220","$117,122,101","$188,129,246","$184,472,792","$177,208,090","$121,830,174","$93,575,256","$101,992,627","$111,608,309","$128,964,064",,,,
2003,30084,3084,University of Pittsburgh,Inactive,Full Reporter,Pittsburgh,PA,2000,"Pittsburgh, PA",22,852,"1,753,136",Pre 2016,$0,$0,$0,$0,$0,$0,$0,$0,"$174,433","$177,652","$182,281","$239,887","$306,105",,,,,,,,,,,,,,,,,
2016,30085,3085,Prince George's County Transit(TheBus),Active,Full Reporter,Largo,MD,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$19,912,787","$16,174,484","$17,536,152","$22,061,624","$23,595,284","$24,408,489","$28,332,718","$27,941,887","$25,582,055","$24,068,316","$25,853,003","$30,699,305","$29,145,224","$31,169,893",,,,
2016,30087,3087,Fayette Area Coordinated Transportation(FACT),Active,Full Reporter,Lemont Furnace,PA,2010,"Uniontown-Connellsville, PA",487,39,"51,370",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,796,695",$0,"$5,552,311","$3,368,087","$4,456,581","$6,063,875","$4,721,509","$5,192,198","$5,936,696","$4,861,960","$4,451,878","$4,305,049","$3,975,690","$4,753,856",,,,
2016,30088,3088,"County Commissioners of Charles County, MD(DCS  VanGO)",Active,Full Reporter,Port Tobacco,MD,2010,"Waldorf, MD",283,68,"109,919",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,918,184","$3,164,514","$3,314,772","$4,419,277","$5,548,346","$5,462,654","$6,204,121","$6,930,671","$6,426,463","$6,407,355","$6,661,267","$6,701,361","$7,109,796",,,,
2016,30089,3089,Monongalia County Urban Mass Transit Authority(MLTA),Active,Reduced Reporter,Morgantown,WV,2010,"Morgantown, WV",393,37,"70,350",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,816,330","$2,266,662","$2,764,726","$3,263,308","$3,739,194","$3,557,443","$5,089,646","$5,188,850","$4,959,843","$6,731,356","$4,767,856","$4,387,267",,,,
2016,30090,3090,Eastern Panhandle Transit Authority(EPTA),Active,Reduced Reporter,Martinsburg,WV,2010,"Hagerstown, MD-WV-PA",189,133,"182,696",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,170,467","$1,596,604","$1,484,457","$1,815,986",,,,
2016,30091,3091,Blacksburg Transit(BT),Active,Full Reporter,Blacksburg,VA,2010,"Blacksburg, VA",328,51,"88,542",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$3,257,733","$6,585,961","$6,171,498","$5,166,004","$6,435,778","$13,692,373","$7,948,959","$8,214,157","$9,973,912","$12,316,897","$8,871,775","$9,518,599",,,,
2016,30092,3092,Carroll County Department of Citizen Services(CATS),Active,Reduced Reporter,Westminster,MD,2010,"Westminster-Eldersburg, MD",383,58,"72,714",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,042,186","$1,072,192","$1,004,184","$1,244,744","$1,883,432","$3,608,755","$1,900,957","$1,888,133","$2,102,891","$1,788,785","$1,950,961","$2,322,907",,,,
2016,30093,3093,City of Hazleton -- Hazleton Public Transit(HPT),Active,Reduced Reporter,Hazleton,PA,2010,"Hazleton, PA",460,31,"56,827",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,192,039","$2,424,633","$2,548,417","$2,620,892","$2,706,048",,,,
2016,30094,3094,City of Harrisonburg Department of Public Transportation(Harrisonburg Transit),Active,Full Reporter,Harrisonburg,VA,2010,"Harrisonburg, VA",413,33,"66,784",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$3,871,875","$2,588,825","$2,978,524","$3,184,701","$8,116,022","$3,051,684","$3,178,615","$6,726,518","$6,710,006","$9,651,449","$7,102,557","$4,868,125",,,,
2016,30095,3095,County of Lebanon Transit Authority(Lebanon Transit),Active,Full Reporter,Lebanon,PA,2010,"Lebanon, PA",366,45,"77,086",Existing 2016,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$3,400,406","$3,616,763","$4,367,929","$4,841,711","$3,782,838","$7,686,699","$5,492,547","$3,801,623","$3,868,489","$3,749,146","$4,045,953",,,,
